primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,sexo,tipo_identificacion,numero_identificacion,departamento_domicilio,municipio_domicilio,zona_domicilio,numero_via,numero_uno,letra,numero_dos,barrio_sector,celular_uno,correo,genero,orientacion_sexual,personas_cargo,discapacidad,nombre_tercero,apellido_tercero,celular_uno_tercero,correo_tercero
Natalia,Sofía,García,Escobar,Mujer,Pasaporte,4434483942,52,52573,Rural,62,85,a,37,San Antonio,3877437542,natalia.garcía10@ejemplo.com,Femenino,Heterosexual,7,Intelectual,Miguel,Montoya,3182883236,miguel.montoya10@ejemplo.com
Andrés,Jorge,Ortiz,Ramírez,Hombre,Pasaporte,4831482756,52,52685,Rural,49,52,b,24,San Carlos,3310073344,andrés.ortiz11@ejemplo.com,Masculino,Bisexual,9,Intelectual,Pablo,Ruiz,3661172432,pablo.ruiz11@ejemplo.com
Paula,Estefanía,Mendoza,Hernández,Mujer,Pasaporte,1701397955,52,52560,Urbano,52,59,c,19,La Castellana,3236788808,paula.mendoza12@ejemplo.com,No binario,Bisexual,9,Visual,Nicolás,Castañeda,3201404406,nicolás.castañeda12@ejemplo.com
Sebastián,Esteban,Cruz,Martínez,Mujer,Cédula de extranjería,9386385833,20,20060,Urbano,41,21,a,39,Villa Nueva,3548132515,sebastián.cruz13@ejemplo.com,Femenino,Heterosexual,8,Auditiva,Samuel,Silva,3344900991,samuel.silva13@ejemplo.com
María,Beatriz,Castro,Castillo,Mujer,Cédula de extranjería,3790088259,41,41306,Urbano,75,36,b,9,San Luis,3832943071,maría.castro14@ejemplo.com,Femenino,Bisexual,7,Visual,Miguel,Castañeda,3813986653,miguel.castañeda14@ejemplo.com
Felipe,Ignacio,Salazar,Escobar,Intersexual,Pasaporte,7492164167,52,52573,Rural,98,47,b,1,Altos del Bosque,3957283047,felipe.salazar15@ejemplo.com,Masculino,Bisexual,10,Intelectual,Sofía,Bermúdez,3428629202,sofía.bermúdez15@ejemplo.com
Lucía,Emilio,Peña,Rueda,Hombre,Cédula de ciudadanía,3426048608,25,25019,Urbano,85,60,a,13,Las Margaritas,3520931657,lucía.peña16@ejemplo.com,No binario,Homosexual,6,Intelectual,Nicolás,Suárez,3255172429,nicolás.suárez16@ejemplo.com
Mateo,Agustina,Álvarez,Torres,Hombre,Cédula de extranjería,7918873327,19,19050,Rural,28,95,a,38,La Candelaria,3794845509,mateo.álvarez17@ejemplo.com,No binario,Heterosexual,6,Visual,Andrés,Ramírez,3646180101,andrés.ramírez17@ejemplo.com
Isabella,Teresa,Montoya,Pineda,Intersexual,Cédula de ciudadanía,4967027394,20,20060,Rural,30,93,b,45,San Carlos,3677170791,isabella.montoya18@ejemplo.com,No binario,Bisexual,7,Intelectual,Beatriz,Molina,3558040133,beatriz.molina18@ejemplo.com
Tomás,Bruno,Rivera,Palacios,Hombre,Cédula de extranjería,4791596976,27,27615,Urbano,43,17,c,31,Villa del Prado,3978055478,tomás.rivera19@ejemplo.com,Femenino,Heterosexual,1,Intelectual,Leticia,Delgado,3332755229,leticia.delgado19@ejemplo.com
Gabriela,Martina,Cardona,Mora,Intersexual,Cédula de extranjería,7597373669,20,20060,Rural,33,15,c,42,Los Álamos,3856251440,gabriela.cardona20@ejemplo.com,Masculino,Homosexual,3,Intelectual,Camilo,Bermúdez,3209990224,camilo.bermúdez20@ejemplo.com
Diego,Martina,Londoño,Serrano,Hombre,Pasaporte,4253019170,19,19001,Urbano,68,77,c,35,San Cristóbal,3179690009,diego.londoño21@ejemplo.com,No binario,Heterosexual,3,Auditiva,Valentina,Arias,3459356125,valentina.arias21@ejemplo.com
Samuel,Gustavo,Herrera,Castillo,Mujer,Cédula de extranjería,6888992713,52,52683,Rural,55,66,a,28,El Refugio,3661985439,samuel.herrera22@ejemplo.com,Femenino,Bisexual,6,Auditiva,Iván,Delgado,3833025237,iván.delgado22@ejemplo.com
Juliana,Patricia,Bermúdez,Ortiz,Hombre,Pasaporte,6415272404,27,27615,Urbano,18,45,a,50,San Luis,3477872318,juliana.bermúdez23@ejemplo.com,Masculino,Heterosexual,2,Auditiva,Lucía,Castañeda,3793783572,lucía.castañeda23@ejemplo.com
David,Estefanía,Chávez,Chávez,Intersexual,Pasaporte,5505462932,19,19075,Rural,72,92,b,19,El Prado,3299794437,david.chávez24@ejemplo.com,Femenino,Homosexual,4,Auditiva,Verónica,Benítez,3261079130,verónica.benítez24@ejemplo.com
Mariana,Lorena,Mejía,Ruiz,Hombre,Cédula de extranjería,8185945005,41,41001,Rural,94,24,c,5,San Antonio,3464014382,mariana.mejía25@ejemplo.com,Masculino,Homosexual,5,Visual,Roberto,Arias,3845604462,roberto.arias25@ejemplo.com
Alejandro,Oscar,Castaño,Castañeda,Mujer,Cédula de ciudadanía,3750440955,25,25168,Rural,62,38,a,42,El Porvenir,3503763913,alejandro.castaño26@ejemplo.com,No binario,Bisexual,9,Auditiva,Sebastián,Cortés,3453174732,sebastián.cortés26@ejemplo.com
Daniela,Paola,Morales,Aguilar,Intersexual,Cédula de ciudadanía,3052307446,25,25123,Rural,8,68,a,23,Villa Diana,3559624047,daniela.morales27@ejemplo.com,Femenino,Heterosexual,10,Visual,Tomás,Gómez,3885413705,tomás.gómez27@ejemplo.com
Nicolás,Cecilia,Ríos,Rivera,Mujer,Cédula de extranjería,9273829270,41,41306,Urbano,92,96,a,49,Bosque Popular,3431819561,nicolás.ríos28@ejemplo.com,No binario,Bisexual,3,Intelectual,Juliana,Molina,3895155925,juliana.molina28@ejemplo.com
Sara,Patricia,Torres,Castro,Hombre,Cédula de ciudadanía,2416952979,25,25126,Urbano,7,69,b,3,El Jardín,3632129816,sara.torres29@ejemplo.com,Femenino,Bisexual,1,Auditiva,Emmanuel,Castro,3710289956,emmanuel.castro29@ejemplo.com
Esteban,Esteban,Vargas,Chávez,Hombre,Pasaporte,4969270018,27,27615,Urbano,97,60,a,42,Altos del Bosque,3889614487,esteban.vargas30@ejemplo.com,Femenino,Homosexual,7,Intelectual,Ariana,Aguilar,3567076710,ariana.aguilar30@ejemplo.com
Luisa,Pablo,Serrano,Arias,Hombre,Cédula de ciudadanía,7738364710,27,27025,Rural,11,74,c,50,El Jardín,3231319320,luisa.serrano31@ejemplo.com,No binario,Bisexual,2,Auditiva,Emmanuel,Palacios,3630658958,emmanuel.palacios31@ejemplo.com
Martín,David,Pineda,Sánchez,Intersexual,Pasaporte,2609052997,19,19050,Rural,4,22,a,8,San Luis,3533583497,martín.pineda32@ejemplo.com,Masculino,Bisexual,9,Visual,Andrés,Moreno,3549142794,andrés.moreno32@ejemplo.com
Renata,Ricardo,Reyes,Mejía,Intersexual,Cédula de ciudadanía,2733771506,41,41349,Rural,73,47,a,27,Los Álamos,3578785790,renata.reyes33@ejemplo.com,Masculino,Heterosexual,8,Intelectual,Victoria,Vallejo,3405627260,victoria.vallejo33@ejemplo.com
Emilio,Emmanuel,Navarro,Molina,Intersexual,Cédula de extranjería,5984612447,41,41001,Rural,69,73,b,17,Villa Clara,3663410329,emilio.navarro34@ejemplo.com,Masculino,Homosexual,10,Auditiva,Emmanuel,Pacheco,3738679156,emmanuel.pacheco34@ejemplo.com
Victoria,Carolina,Molina,Aguilar,Intersexual,Cédula de extranjería,1793178270,20,20178,Urbano,49,32,a,15,San Carlos,3754258223,victoria.molina35@ejemplo.com,No binario,Homosexual,4,Visual,Mariana,Escobar,3198664520,mariana.escobar35@ejemplo.com
Emilia,Clara,Soto,Ortiz,Hombre,Pasaporte,2489310337,25,25126,Rural,71,16,c,17,Villa Luz,3204027865,emilia.soto36@ejemplo.com,Femenino,Homosexual,6,Intelectual,Pablo,Soto,3530943267,pablo.soto36@ejemplo.com
Agustín,Sofía,Delgado,Ríos,Intersexual,Cédula de extranjería,9207561124,52,52685,Urbano,52,85,c,15,Villa María,3625131521,agustín.delgado37@ejemplo.com,Femenino,Heterosexual,6,Visual,Victoria,Castro,3405563775,victoria.castro37@ejemplo.com
Antonia,María,Campos,Ortiz,Hombre,Cédula de extranjería,3197328356,27,27615,Urbano,99,18,b,44,Villa Clara,3418818558,antonia.campos38@ejemplo.com,Femenino,Bisexual,6,Auditiva,Emmanuel,Benítez,3604923374,emmanuel.benítez38@ejemplo.com
Emmanuel,Alonso,Vega,Cruz,Intersexual,Cédula de ciudadanía,8749963391,41,41349,Urbano,79,20,c,8,Las Flores,3565830776,emmanuel.vega39@ejemplo.com,No binario,Heterosexual,10,Intelectual,Natalia,Castro,3694969404,natalia.castro39@ejemplo.com
Ariana,Esteban,Aguilar,Molina,Hombre,Cédula de extranjería,9768379365,52,52685,Rural,87,38,c,3,El Prado,3731044499,ariana.aguilar40@ejemplo.com,Femenino,Heterosexual,9,Auditiva,Manuela,Ramón,3541048579,manuela.ramón40@ejemplo.com
Bruno,Iván,Silva,Chávez,Mujer,Cédula de ciudadanía,9354981361,25,25126,Rural,95,73,c,49,La Esperanza,3786383679,bruno.silva41@ejemplo.com,Femenino,Bisexual,4,Auditiva,Antonia,Serrano,3887118851,antonia.serrano41@ejemplo.com
René,Alfredo,Fuentes,Arias,Mujer,Cédula de ciudadanía,9968506057,19,19001,Urbano,45,68,a,19,San Cristóbal,3813796713,rené.fuentes42@ejemplo.com,Femenino,Bisexual,2,Visual,Bruno,Ramón,3386653549,bruno.ramón42@ejemplo.com
Diana,Cristian,Escobar,Solano,Mujer,Cédula de ciudadanía,7300928682,20,20032,Rural,52,86,c,25,El Prado,3853476802,diana.escobar43@ejemplo.com,Masculino,Homosexual,1,Intelectual,Valentina,García,3775010693,valentina.garcía43@ejemplo.com
Pablo,Elena,Pacheco,Rangel,Mujer,Cédula de extranjería,6334631912,27,27001,Rural,45,38,c,31,La Candelaria,3951065415,pablo.pacheco44@ejemplo.com,Femenino,Homosexual,6,Auditiva,Miguel,Navarro,3773235110,miguel.navarro44@ejemplo.com
Mónica,Hugo,Maldonado,López,Hombre,Cédula de extranjería,8930070602,19,19022,Urbano,42,66,b,19,El Refugio,3809369398,mónica.maldonado45@ejemplo.com,No binario,Homosexual,10,Visual,Emilia,Pineda,3770512912,emilia.pineda45@ejemplo.com
Cristian,Mauricio,Arias,Reyes,Hombre,Cédula de ciudadanía,5141833908,20,20032,Rural,88,71,a,4,San Carlos,3296516096,cristian.arias46@ejemplo.com,No binario,Homosexual,9,Auditiva,Ramiro,Vargas,3841150546,ramiro.vargas46@ejemplo.com
Lorena,Emiliano,Córdoba,López,Mujer,Cédula de ciudadanía,1550893819,20,20032,Urbano,57,93,b,1,Los Rosales,3986875618,lorena.córdoba47@ejemplo.com,Femenino,Heterosexual,9,Intelectual,Sofía,Molina,3520535061,sofía.molina47@ejemplo.com
Francisco,Ricardo,Sánchez,Cárdenas,Intersexual,Cédula de ciudadanía,3448744883,27,27025,Urbano,90,10,b,4,La Estrella,3120972659,francisco.sánchez48@ejemplo.com,No binario,Bisexual,9,Auditiva,Sofía,Pacheco,3874262349,sofía.pacheco48@ejemplo.com
Carolina,Francisco,Ruiz,Cortés,Hombre,Pasaporte,2042111635,20,20060,Urbano,38,21,a,33,Los Álamos,3110290418,carolina.ruiz49@ejemplo.com,No binario,Homosexual,8,Auditiva,Sofía,Ruiz,3991603954,sofía.ruiz49@ejemplo.com
Jorge,Roberto,Castillo,Mora,Intersexual,Pasaporte,8430727091,52,52560,Rural,23,4,c,27,El Recreo,3460457365,jorge.castillo50@ejemplo.com,No binario,Homosexual,10,Auditiva,Luisa,Londoño,3998022062,luisa.londoño50@ejemplo.com
Patricia,Esteban,Márquez,Guzmán,Mujer,Cédula de ciudadanía,4649594995,52,52685,Rural,59,13,c,39,San Fernando,3325216832,patricia.márquez51@ejemplo.com,No binario,Homosexual,4,Intelectual,Ana,Molina,3524547766,ana.molina51@ejemplo.com
Iván,José,Ramón,Cruz,Hombre,Pasaporte,6792810115,20,20032,Rural,97,83,b,40,San Cristóbal,3444509609,iván.ramón52@ejemplo.com,Femenino,Homosexual,7,Auditiva,Mauricio,Delgado,3141412821,mauricio.delgado52@ejemplo.com
Beatriz,Emilio,Villalba,Solano,Hombre,Cédula de ciudadanía,2595639915,41,41001,Rural,40,90,b,39,Villa Luz,3272773966,beatriz.villalba53@ejemplo.com,Femenino,Homosexual,3,Visual,Ricardo,Rodríguez,3309072857,ricardo.rodríguez53@ejemplo.com
Ramiro,David,Guzmán,Soto,Intersexual,Cédula de ciudadanía,8809274404,19,19075,Urbano,40,5,b,39,San Cristóbal,3589177855,ramiro.guzmán54@ejemplo.com,Masculino,Homosexual,10,Visual,Miguel,Mejía,3266405430,miguel.mejía54@ejemplo.com
Fabiola,Elena,Solano,Rivera,Intersexual,Cédula de extranjería,6441477102,52,52573,Rural,88,93,c,4,San Antonio,3693932185,fabiola.solano55@ejemplo.com,No binario,Heterosexual,1,Auditiva,Sara,Martínez,3213805734,sara.martínez55@ejemplo.com
Alfredo,Alexander,Palacios,Castaño,Hombre,Cédula de extranjería,2183737438,20,20032,Urbano,75,19,b,49,Los Rosales,3892460625,alfredo.palacios56@ejemplo.com,Femenino,Heterosexual,10,Visual,Victoria,Reyes,3119143174,victoria.reyes56@ejemplo.com
Leticia,Nicolás,Rangel,Vega,Mujer,Pasaporte,9073947400,20,20178,Rural,10,50,a,29,Los Laureles,3965326996,leticia.rangel57@ejemplo.com,No binario,Homosexual,10,Intelectual,Verónica,López,3299096624,verónica.lópez57@ejemplo.com
Oscar,Verónica,Barrios,Pacheco,Hombre,Pasaporte,1701060137,19,19075,Urbano,43,5,b,19,El Refugio,3889529273,oscar.barrios58@ejemplo.com,No binario,Bisexual,9,Intelectual,Mónica,Vallejo,3659565690,mónica.vallejo58@ejemplo.com
Teresa,Sofía,Córdoba,García,Hombre,Pasaporte,9571773156,27,27615,Rural,32,37,b,37,Las Flores,3478167101,teresa.córdoba59@ejemplo.com,No binario,Bisexual,4,Intelectual,Alberto,Moreno,3627896681,alberto.moreno59@ejemplo.com
Gustavo,Antonia,Vallejo,Benítez,Hombre,Pasaporte,6072542843,27,27025,Rural,52,70,b,30,Villa Diana,3285304637,gustavo.vallejo60@ejemplo.com,Masculino,Heterosexual,2,Intelectual,Mauricio,Castillo,3304102149,mauricio.castillo60@ejemplo.com
Silvia,Patricia,Benítez,Vallejo,Mujer,Cédula de extranjería,9506920109,25,25168,Rural,62,92,b,47,Villa del Prado,3774870936,silvia.benítez61@ejemplo.com,No binario,Homosexual,7,Intelectual,Andrés,Solano,3425565471,andrés.solano61@ejemplo.com
Rocío,Ricardo,Cortés,Mendoza,Intersexual,Pasaporte,3147099840,52,52560,Urbano,72,96,b,21,San Antonio,3254789508,rocío.cortés62@ejemplo.com,No binario,Homosexual,7,Auditiva,Gabriela,Rivera,3252373480,gabriela.rivera62@ejemplo.com
Clara,Nicolás,Rueda,Campos,Intersexual,Cédula de extranjería,1109671288,27,27025,Rural,45,72,c,22,Villa del Prado,3216959219,clara.rueda63@ejemplo.com,Femenino,Homosexual,9,Visual,Clara,Mora,3896722704,clara.mora63@ejemplo.com
Roberto,Oscar,Mora,Sarmiento,Intersexual,Cédula de extranjería,8616487676,27,27001,Rural,13,59,c,26,La Candelaria,3273656415,roberto.mora64@ejemplo.com,No binario,Bisexual,6,Visual,Elena,Fuentes,3391699389,elena.fuentes64@ejemplo.com
Cecilia,Jorge,Sarmiento,Salinas,Intersexual,Cédula de extranjería,9959147182,19,19050,Rural,89,34,a,39,La Castellana,3661551710,cecilia.sarmiento65@ejemplo.com,Masculino,Bisexual,9,Intelectual,Nicolás,Sánchez,3520835468,nicolás.sánchez65@ejemplo.com
Mauricio,Verónica,Buitrago,Palacios,Hombre,Cédula de ciudadanía,2656982486,52,52683,Rural,21,54,b,30,Villa Luz,3550480608,mauricio.buitrago66@ejemplo.com,No binario,Heterosexual,4,Auditiva,Ariana,Pineda,3726605478,ariana.pineda66@ejemplo.com
Verónica,Francisco,Castañeda,Castro,Intersexual,Cédula de ciudadanía,8921859842,20,20175,Urbano,17,51,a,36,Villa del Prado,3535811365,verónica.castañeda67@ejemplo.com,Femenino,Heterosexual,3,Auditiva,Camila,Buitrago,3198354039,camila.buitrago67@ejemplo.com
Raúl,Leticia,Cárdenas,Márquez,Mujer,Pasaporte,2212246111,19,19001,Rural,91,85,a,3,San Antonio,3499033303,raúl.cárdenas68@ejemplo.com,No binario,Bisexual,7,Intelectual,Julián,Serrano,3212210523,julián.serrano68@ejemplo.com
Javier,Alonso,Salinas,Cárdenas,Hombre,Pasaporte,4539899040,25,25019,Urbano,23,39,b,12,San Carlos,3775438150,javier.salinas69@ejemplo.com,Masculino,Homosexual,5,Visual,María,Mora,3952469384,maría.mora69@ejemplo.com
Camilo,Isabel,Pérez,Rivera,Intersexual,Pasaporte,2146366742,19,19050,Urbano,49,90,c,2,Las Margaritas,3926801867,camilo.pérez70@ejemplo.com,No binario,Heterosexual,10,Visual,Rocío,Solano,3113180396,rocío.solano70@ejemplo.com
Ricardo,Ignacio,López,Salazar,Intersexual,Cédula de extranjería,4177640997,41,41349,Urbano,37,2,c,40,El Mirador,3198920119,ricardo.lópez71@ejemplo.com,Femenino,Bisexual,2,Visual,Jorge,Campos,3927518595,jorge.campos71@ejemplo.com
Elena,Alonso,Martínez,Vega,Intersexual,Pasaporte,2499247693,19,19001,Rural,93,45,c,35,Las Flores,3354526206,elena.martínez72@ejemplo.com,Femenino,Bisexual,7,Auditiva,Sofía,Fuentes,3391846161,sofía.fuentes72@ejemplo.com
Manuela,María,Rodríguez,Castaño,Mujer,Cédula de extranjería,8657560692,41,41319,Rural,97,45,b,34,Villa María,3149789707,manuela.rodríguez73@ejemplo.com,Masculino,Bisexual,7,Intelectual,Leticia,Escobar,3325269884,leticia.escobar73@ejemplo.com
Ignacio,Ariana,Hernández,Soto,Intersexual,Cédula de extranjería,1770369956,41,41319,Urbano,6,41,c,25,San Antonio,3113097301,ignacio.hernández74@ejemplo.com,Femenino,Bisexual,10,Intelectual,Roberto,Vallejo,3204362074,roberto.vallejo74@ejemplo.com
Alberto,Leonardo,Gómez,Delgado,Intersexual,Pasaporte,7928490232,20,20060,Rural,74,60,c,25,Bosque Popular,3636653229,alberto.gómez75@ejemplo.com,Femenino,Heterosexual,9,Intelectual,Paula,Aguilar,3810361249,paula.aguilar75@ejemplo.com
Valeria,Manuela,Moreno,Palacios,Intersexual,Cédula de extranjería,5331549925,19,19075,Urbano,51,71,c,47,Villa María,3727987109,valeria.moreno76@ejemplo.com,Masculino,Homosexual,6,Intelectual,Emilio,Cardona,3154971084,emilio.cardona76@ejemplo.com
Nicolás,Leonardo,Jiménez,Castaño,Intersexual,Cédula de ciudadanía,2650366254,19,19001,Rural,41,10,a,45,Los Álamos,3258903037,nicolás.jiménez77@ejemplo.com,Masculino,Homosexual,1,Intelectual,Natalia,Benítez,3950781530,natalia.benítez77@ejemplo.com
Sofía,Cristian,Ramírez,Bermúdez,Mujer,Cédula de ciudadanía,2084227375,27,27001,Rural,21,68,b,48,Villa Luz,3885118634,sofía.ramírez78@ejemplo.com,No binario,Heterosexual,7,Intelectual,Mariana,Ríos,3188967728,mariana.ríos78@ejemplo.com
Alonso,Alfredo,Suárez,Sarmiento,Mujer,Pasaporte,6734486618,20,20032,Rural,56,33,c,48,El Jardín,3342945207,alonso.suárez79@ejemplo.com,No binario,Homosexual,6,Auditiva,Clara,Soto,3253655740,clara.soto79@ejemplo.com
Juan,Diana,García,Álvarez,Mujer,Pasaporte,7197112086,52,52560,Urbano,70,89,c,44,San José,3468152776,juan.garcía80@ejemplo.com,Masculino,Homosexual,9,Auditiva,Miguel,Jiménez,3233578166,miguel.jiménez80@ejemplo.com
Ana,Oscar,Ortiz,Rivera,Hombre,Pasaporte,7566331387,41,41306,Urbano,88,85,a,15,Las Margaritas,3311132255,ana.ortiz81@ejemplo.com,No binario,Bisexual,7,Visual,Nicolás,Ríos,3383119587,nicolás.ríos81@ejemplo.com
Carlos,Raúl,Mendoza,Márquez,Intersexual,Pasaporte,7904376349,41,41306,Rural,62,10,b,46,Villa María,3460044510,carlos.mendoza82@ejemplo.com,No binario,Heterosexual,8,Visual,Lucía,Campos,3887084698,lucía.campos82@ejemplo.com
Laura,Alonso,Cruz,Vallejo,Hombre,Cédula de ciudadanía,9860216153,25,25019,Urbano,60,28,b,31,Villa Diana,3738843382,laura.cruz83@ejemplo.com,Masculino,Homosexual,2,Auditiva,Jorge,Ramón,3693212567,jorge.ramón83@ejemplo.com
Sofía,Leonardo,Castro,Salazar,Mujer,Cédula de extranjería,1852349302,20,20175,Urbano,60,89,c,22,El Refugio,3107113796,sofía.castro84@ejemplo.com,Femenino,Heterosexual,3,Visual,Luisa,Buitrago,3748998811,luisa.buitrago84@ejemplo.com
Miguel,Elena,Salazar,Márquez,Hombre,Pasaporte,2981796676,20,20178,Rural,52,87,c,35,El Jardín,3409927952,miguel.salazar85@ejemplo.com,Masculino,Homosexual,8,Auditiva,Alberto,Ortiz,3912538309,alberto.ortiz85@ejemplo.com
Camila,Fabiola,Peña,Mendoza,Hombre,Pasaporte,9000466098,19,19050,Urbano,56,74,b,41,Villa Clara,3174584227,camila.peña86@ejemplo.com,Femenino,Homosexual,4,Intelectual,Javier,Ramón,3505314721,javier.ramón86@ejemplo.com
Daniel,Felipe,Álvarez,Cruz,Hombre,Cédula de extranjería,2527528518,52,52685,Urbano,44,95,b,23,Los Álamos,3400410069,daniel.álvarez87@ejemplo.com,No binario,Heterosexual,8,Visual,Daniel,Castaño,3420146177,daniel.castaño87@ejemplo.com
Valentina,Martina,Montoya,Pineda,Mujer,Cédula de ciudadanía,2400885352,52,52683,Rural,32,57,c,50,El Refugio,3809249405,valentina.montoya88@ejemplo.com,Masculino,Homosexual,2,Auditiva,Beatriz,Rivera,3212818813,beatriz.rivera88@ejemplo.com
Julián,Andrea,Rivera,Benítez,Hombre,Cédula de ciudadanía,7322727155,27,27006,Urbano,74,78,a,17,El Porvenir,3342921630,julián.rivera89@ejemplo.com,No binario,Homosexual,3,Intelectual,Carlos,Gómez,3449338923,carlos.gómez89@ejemplo.com
Natalia,Ángel,Cardona,Chávez,Hombre,Pasaporte,4292722078,41,41001,Rural,62,84,b,13,Las Flores,3297604361,natalia.cardona90@ejemplo.com,Masculino,Homosexual,1,Intelectual,Julián,Londoño,3584515448,julián.londoño90@ejemplo.com
Andrés,Antonia,Londoño,Castillo,Mujer,Pasaporte,4692250764,27,27615,Urbano,94,34,b,10,Los Laureles,3851744618,andrés.londoño91@ejemplo.com,Femenino,Bisexual,9,Intelectual,Valentina,Moreno,3312501507,valentina.moreno91@ejemplo.com
Paula,Diana,Herrera,Aguilar,Intersexual,Pasaporte,4317340869,41,41001,Rural,4,58,b,45,San José,3517782941,paula.herrera92@ejemplo.com,Femenino,Bisexual,4,Intelectual,Alfredo,Londoño,3950193289,alfredo.londoño92@ejemplo.com
Sebastián,Oscar,Bermúdez,Rangel,Intersexual,Cédula de extranjería,8553317612,41,41319,Urbano,17,64,c,6,San José,3974013079,sebastián.bermúdez93@ejemplo.com,Femenino,Homosexual,10,Visual,René,Palacios,3281636818,rené.palacios93@ejemplo.com
María,Alberto,Chávez,Benítez,Intersexual,Cédula de extranjería,6907393952,25,25123,Urbano,46,17,b,17,San Carlos,3475785202,maría.chávez94@ejemplo.com,Masculino,Heterosexual,3,Auditiva,Miguel,Rodríguez,3865998332,miguel.rodríguez94@ejemplo.com
Felipe,Raúl,Mejía,Ramírez,Hombre,Cédula de ciudadanía,9796221438,27,27001,Rural,2,25,b,3,El Jardín,3207387981,felipe.mejía95@ejemplo.com,Masculino,Homosexual,5,Visual,Iván,Rivera,3583496816,iván.rivera95@ejemplo.com
Lucía,Martina,Castaño,Castañeda,Mujer,Cédula de ciudadanía,6095319863,27,27006,Rural,27,99,c,26,El Jardín,3656767381,lucía.castaño96@ejemplo.com,No binario,Heterosexual,5,Auditiva,Alberto,Campos,3661831460,alberto.campos96@ejemplo.com
Mateo,Esteban,Morales,Pacheco,Mujer,Cédula de ciudadanía,5230081039,20,20178,Rural,66,16,c,36,El Recreo,3686912127,mateo.morales97@ejemplo.com,Masculino,Heterosexual,3,Auditiva,Emilio,Barrios,3281575462,emilio.barrios97@ejemplo.com
Isabella,Ignacio,Ríos,Barrios,Mujer,Pasaporte,6940545142,52,52560,Rural,15,95,c,1,Villa del Prado,3931632162,isabella.ríos98@ejemplo.com,Femenino,Homosexual,2,Auditiva,Jorge,López,3289983837,jorge.lópez98@ejemplo.com
Tomás,Leticia,Torres,Villalba,Hombre,Cédula de ciudadanía,6814557477,25,25123,Urbano,88,85,c,15,Villa Nueva,3374733026,tomás.torres99@ejemplo.com,Femenino,Bisexual,8,Intelectual,Lucía,Pineda,3298909382,lucía.pineda99@ejemplo.com
